4.2268	3.0783	4.5002	3.3101	2.6206	4.6887	4.7863	1.9706	1.9663	4.2843
3.4726	1.6338	4.0460	4.8422	3.7232	3.9385	1.1525	1.5873	3.2177	1.8112
2.8189	1.3625	2.8731	4.4513	4.6666	3.2507	1.4581	3.0476	4.1561	1.8747
3.8440	4.7454	2.2507	1.1893	1.9179	4.6670	4.6656	1.8918	2.8351	2.6674
1.9466	1.5037	2.9968	3.3171	3.7284	2.0923	2.6002	4.4508	3.5527	3.2802
3.3113	4.7918	4.7174	1.5243	3.6894	1.5588	1.8405	4.9667	3.5893	2.2622
1.8042	4.0251	4.3442	3.3251	1.5576	4.4425	4.7386	2.3648	4.8560	2.8539
4.1907	3.8481	2.6367	3.9082	4.9459	4.0686	3.8858	1.8461	3.0549	4.7258
2.6432	3.7225	1.6999	1.9909	4.9510	4.6556	3.7906	2.0525	1.9482	1.8970
2.6342	3.1662	4.3420	3.3708	1.4788	2.4662	4.1512	1.1472	3.3428	4.5977
3.8288	2.8293	4.3677	4.8823	3.7132	4.0205	3.8033	2.7287	1.6262	2.9894
1.7534	2.2134	2.4904	4.6030	3.2348	4.9841	1.1029	1.3246	4.0060	3.4148
4.2518	1.9811	1.8406	4.9296	2.7590	3.9569	3.7859	4.2762	4.0136	3.0924
1.6458	1.7376	4.8047	2.3399	2.2197	3.9847	3.4923	2.5038	4.2908	3.0161
1.1746	4.5807	4.5937	3.8647	1.3260	1.2539	3.8863	4.9017	2.9423	2.5425
3.3838	1.1749	2.2866	1.2987	2.1657	3.4101	4.3843	4.4590	1.3284	4.6666
4.7349	4.2452	2.6400	4.0259	3.7314	4.3766	2.8450	2.9428	1.6985	2.5545
4.7065	3.9315	4.7644	4.2748	2.8826	2.9294	3.3035	4.7615	2.9498	1.3205
4.2927	4.9271	1.4952	4.8783	3.4507	4.7951	4.9452	3.1601	4.7850	1.1603
3.3799	4.5164	4.9030	2.3886	4.8281	3.4983	2.1228	4.2576	4.1858	1.0608
3.8700	3.6530	2.5072	1.0573	1.8330	4.4572	4.1786	3.2197	3.3355	1.1302
4.7125	3.0672	1.3369	4.4343	3.4919	3.0590	4.8829	3.7848	1.3598	2.9251
2.8412	3.6960	3.0006	3.9347	1.5338	3.9933	2.4311	1.4401	1.5645	3.0788
2.8277	4.3870	1.2468	1.2235	4.1992	1.4319	2.6615	1.0666	1.6664	1.2197
4.4290	1.2294	3.5044	4.2151	2.2293	1.2588	3.9833	3.5733	1.0342	1.0743
1.5745	3.8608	2.1196	1.6095	2.5782	1.8717	2.1872	4.9444	3.4821	4.5545
3.8939	4.2555	3.6230	4.7739	4.1846	3.2738	3.0977	2.1647	4.0422	3.0894
4.0331	3.3638	3.4753	3.4790	3.7298	3.4794	1.3702	3.4827	2.1690	1.6650
4.8489	4.3380	2.0582	3.2618	2.5985	1.4630	1.4743	4.5907	2.0080	4.5849
2.4513	2.0341	1.9602	4.2435	4.7452	4.4190	1.8703	2.6294	2.5268	4.2550
